theme, title, catid, link_
"IEA","Akule and 'Opelu Larval Data from Plankton Tows Conducted off the Kona Coast in West Hawai'i between 1997 and 2018",69138,"https://www.fisheries.noaa.gov/inport/item/69138"
"","American Samoa: coral reef monitoring interactive map and information layers primarily from 2010 surveys",25467,"https://www.fisheries.noaa.gov/inport/item/25467"
"ARMS","Assessing cryptic reef diversity of colonizing marine invertebrates using Autonomous Reef Monitoring Structures (ARMS) deployed at coral reef sites in Batangas, Philippines from 2012 to 2015",45818,"https://www.fisheries.noaa.gov/inport/item/45818"
"ARMS","Assessing cryptic reef diversity of colonizing marine invertebrates using Autonomous Reef Monitoring Structures (ARMS) deployed at coral reef sites in Kimbe Bay, Papua New Guinea from 2009 to 2012",64757,"https://www.fisheries.noaa.gov/inport/item/64757"
"ARMS","Assessing cryptic reef diversity of colonizing marine invertebrates using Autonomous Reef Monitoring Structures (ARMS) deployed at coral reef sites in Timor-Leste from 2012 to 2014",46159,"https://www.fisheries.noaa.gov/inport/item/46159"
"BRUV","Baited Remote Underwater Video Station (BRUVS) Surveys of Fish in the Hawaiian Archipelago from 2012 to 2014",25248,"https://www.fisheries.noaa.gov/inport/item/25248"
"BPI","Bathymetric Position Index (BPI) Structures Grid Derived from Gridded Bathymetry for Select U.S. Coral Reef Locations across the Pacific Ocean",12617,"https://www.fisheries.noaa.gov/inport/item/12617"
"BPI","Bathymetric Position Index (BPI) Zones Grid Derived from Gridded Bathymetry for Select U.S. Coral Reef Locations across the Pacific Ocean",12616,"https://www.fisheries.noaa.gov/inport/item/12616"
"BLEACH","Benthic Cover Derived from Analysis of Benthic Images Collected in the Hawaiian Archipelago During the 2019 Bleaching Event",59195,"https://www.fisheries.noaa.gov/inport/item/59195"
"","Benthic Cover from Automated Annotation of Benthic Images Collected at Coral Reef Sites in the Pacific Remote Island Areas and American Samoa in 2018",57610,"https://www.fisheries.noaa.gov/inport/item/57610"
"","Benthic Habitat Maps for Rose Atoll Marine National Monument in American Samoa from 2004 to 2010",46886,"https://www.fisheries.noaa.gov/inport/item/46886"
"KAHEKILI","Benthic Imagery from the Kahekili Herbivore Fisheries Management Area (HFMA)",64552,"https://www.fisheries.noaa.gov/inport/item/64552"
"BLEACH","Benthic Images from Stratified Random Site (StRS) Surveys in the Main Hawaiian Islands During the 2019 Bleaching Event",59193,"https://www.fisheries.noaa.gov/inport/item/59193"
"","Benthic Images from Towed-Diver Surveys in the Main Hawaiian Islands to Assess the Mass Coral Bleaching Event in November 2015",32587,"https://www.fisheries.noaa.gov/inport/item/32587"
